date,product_id,product_name,product_category,unit_price,quantity,revenue
2024-10-22,EP002,ノイズキャンセリングイヤホン,イヤホン,34800,14,487200
2024-10-23,SP001,スマートフォン Pro,スマートフォン,89800,45,4041000
2024-10-23,SP002,スマートフォン Lite,スマートフォン,49800,27,1344600
2024-10-23,LP001,ノートPC 15インチ,ノートPC,129800,46,5970800
2024-10-23,LP002,ノートPC 13インチ,ノートPC,98000,16,1568000
2024-10-23,TB001,タブレット 10インチ,タブレット,59800,19,1136200
2024-10-23,EP001,ワイヤレスイヤホン,イヤホン,19800,18,356400
2024-10-23,EP002,ノイズキャンセリングイヤホン,イヤホン,34800,14,487200
2024-10-24,SP001,スマートフォン Pro,スマートフォン,89800,41,3681800
2024-10-24,SP002,スマートフォン Lite,スマートフォン,49800,16,796800
2024-10-24,LP001,ノートPC 15インチ,ノートPC,129800,19,2466200
2024-10-24,LP002,ノートPC 13インチ,ノートPC,98000,17,1666000
2024-10-24,TB001,タブレット 10インチ,タブレット,59800,12,717600
2024-10-24,EP001,ワイヤレスイヤホン,イヤホン,19800,9,178200
2024-10-24,EP002,ノイズキャンセリングイヤホン,イヤホン,34800,9,313200
2024-10-25,SP001,スマートフォン Pro,スマートフォン,89800,36,3232800
2024-10-25,SP002,スマートフォン Lite,スマートフォン,49800,26,1294800
2024-10-25,LP001,ノートPC 15インチ,ノートPC,129800,26,3374800
2024-10-25,LP002,ノートPC 13インチ,ノートPC,98000,18,1764000
2024-10-25,TB001,タブレット 10インチ,タブレット,59800,16,956800
2024-10-25,EP001,ワイヤレスイヤホン,イヤホン,19800,16,316800
2024-10-25,EP002,ノイズキャンセリングイヤホン,イヤホン,34800,17,591600
2024-10-26,SP001,スマートフォン Pro,スマートフォン,89800,48,4310400
2024-10-26,SP002,スマートフォン Lite,スマートフォン,49800,51,2539800
2024-10-26,LP001,ノートPC 15インチ,ノートPC,129800,56,7268800
2024-10-26,LP002,ノートPC 13インチ,ノートPC,98000,37,3626000
2024-10-26,TB001,タブレット 10インチ,タブレット,59800,25,1495000
2024-10-26,EP001,ワイヤレスイヤホン,イヤホン,19800,26,514800
2024-10-26,EP002,ノイズキャンセリングイヤホン,イヤホン,34800,26,904800
2024-10-27,SP001,スマートフォン Pro,スマートフォン,89800,94,8441200
2024-10-27,SP002,スマートフォン Lite,スマートフォン,49800,38,1892400
2024-10-27,LP001,ノートPC 15インチ,ノートPC,129800,50,6490000
2024-10-27,LP002,ノートPC 13インチ,ノートPC,98000,36,3528000
2024-10-27,TB001,タブレット 10インチ,タブレット,59800,38,2272400
2024-10-27,EP001,ワイヤレスイヤホン,イヤホン,19800,27,534600
2024-10-27,EP002,ノイズキャンセリングイヤホン,イヤホン,34800,26,904800
2024-10-28,SP001,スマートフォン Pro,スマートフォン,89800,70,6286000
2024-10-28,SP002,スマートフォン Lite,スマートフォン,49800,43,2141400
2024-10-28,LP001,ノートPC 15インチ,ノートPC,129800,51,6619800
2024-10-28,LP002,ノートPC 13インチ,ノートPC,98000,28,2744000
2024-10-28,TB001,タブレット 10インチ,タブレット,59800,32,1913600
2024-10-28,EP001,ワイヤレスイヤホン,イヤホン,19800,26,514800
2024-10-28,EP002,ノイズキャンセリングイヤホン,イヤホン,34800,22,765600
2024-10-29,SP001,スマートフォン Pro,スマートフォン,89800,49,4400200
2024-10-29,SP002,スマートフォン Lite,スマートフォン,49800,36,1792800
2024-10-29,LP001,ノートPC 15インチ,ノートPC,129800,37,4802600
2024-10-29,LP002,ノートPC 13インチ,ノートPC,98000,22,2156000
2024-10-29,TB001,タブレット 10インチ,タブレット,59800,24,1435200
2024-10-29,EP001,ワイヤレスイヤホン,イヤホン,19800,22,435600
2024-10-29,EP002,ノイズキャンセリングイヤホン,イヤホン,34800,19,661200
2024-10-30,SP001,スマートフォン Pro,スマートフォン,89800,41,3681800
2024-10-30,SP002,スマートフォン Lite,スマートフォン,49800,30,1494000
2024-10-30,LP001,ノートPC 15インチ,ノートPC,129800,37,4802600
2024-10-30,LP002,ノートPC 13インチ,ノートPC,98000,24,2352000
2024-10-30,TB001,タブレット 10インチ,タブレット,59800,16,956800
2024-10-30,EP001,ワイヤレスイヤホン,イヤホン,19800,21,415800
2024-10-30,EP002,ノイズキャンセリングイヤホン,イヤホン,34800,18,626400
2024-10-31,SP001,スマートフォン Pro,スマートフォン,89800,20,1796000
2024-10-31,SP002,スマートフォン Lite,スマートフォン,49800,12,597600
2024-10-31,LP001,ノートPC 15インチ,ノートPC,129800,21,2725800
2024-10-31,LP002,ノートPC 13インチ,ノートPC,98000,13,1274000
2024-10-31,TB001,タブレット 10インチ,タブレット,59800,10,598000
2024-10-31,EP001,ワイヤレスイヤホン,イヤホン,19800,10,198000
2024-10-31,EP002,ノイズキャンセリングイヤホン,イヤホン,34800,7,243600
2024-11-01,SP001,スマートフォン Pro,スマートフォン,89800,106,9518800
2024-11-01,SP002,スマートフォン Lite,スマートフォン,49800,58,2888400
2024-11-01,LP001,ノートPC 15インチ,ノートPC,129800,72,9345600
2024-11-01,LP002,ノートPC 13インチ,ノートPC,98000,60,5880000
2024-11-01,TB001,タブレット 10インチ,タブレット,59800,34,2033200
2024-11-01,EP001,ワイヤレスイヤホン,イヤホン,19800,57,1128600
2024-11-01,EP002,ノイズキャンセリングイヤホン,イヤホン,34800,43,1496400
2024-11-02,SP001,スマートフォン Pro,スマートフォン,89800,109,9788200
2024-11-02,SP002,スマートフォン Lite,スマートフォン,49800,67,3336600
2024-11-02,LP001,ノートPC 15インチ,ノートPC,129800,68,8826400
2024-11-02,LP002,ノートPC 13インチ,ノートPC,98000,52,5096000
2024-11-02,TB001,タブレット 10インチ,タブレット,59800,28,1674400
2024-11-02,EP001,ワイヤレスイヤホン,イヤホン,19800,25,495000
2024-11-02,EP002,ノイズキャンセリングイヤホン,イヤホン,34800,33,1148400
2024-11-03,SP001,スマートフォン Pro,スマートフォン,89800,97,8710600
2024-11-03,SP002,スマートフォン Lite,スマートフォン,49800,101,5029800
2024-11-03,LP001,ノートPC 15インチ,ノートPC,129800,115,14927000
2024-11-03,LP002,ノートPC 13インチ,ノートPC,98000,72,7056000
2024-11-03,TB001,タブレット 10インチ,タブレット,59800,44,2631200
2024-11-03,EP001,ワイヤレスイヤホン,イヤホン,19800,57,1128600
2024-11-03,EP002,ノイズキャンセリングイヤホン,イヤホン,34800,30,1044000
2024-11-04,SP001,スマートフォン Pro,スマートフォン,89800,108,9698400
2024-11-04,SP002,スマートフォン Lite,スマートフォン,49800,43,2141400
2024-11-04,LP001,ノートPC 15インチ,ノートPC,129800,80,10384000
2024-11-04,LP002,ノートPC 13インチ,ノートPC,98000,36,3528000
2024-11-04,TB001,タブレット 10インチ,タブレット,59800,26,1554800
2024-11-04,EP001,ワイヤレスイヤホン,イヤホン,19800,35,693000
2024-11-04,EP002,ノイズキャンセリングイヤホン,イヤホン,34800,23,800400
2024-11-05,SP001,スマートフォン Pro,スマートフォン,89800,125,11225000
2024-11-05,SP002,スマートフォン Lite,スマートフォン,49800,55,2739000
2024-11-05,LP001,ノートPC 15インチ,ノートPC,129800,80,10384000
2024-11-05,LP002,ノートPC 13インチ,ノートPC,98000,55,5390000
2024-11-05,TB001,タブレット 10インチ,タブレット,59800,38,2272400
2024-11-05,EP001,ワイヤレスイヤホン,イヤホン,19800,41,811800
2024-11-05,EP002,ノイズキャンセリングイヤホン,イヤホン,34800,42,1461600
2024-11-06,SP001,スマートフォン Pro,スマートフォン,89800,80,7184000
2024-11-06,SP002,スマートフォン Lite,スマートフォン,49800,45,2241000
2024-11-06,LP001,ノートPC 15インチ,ノートPC,129800,71,9215800
2024-11-06,LP002,ノートPC 13インチ,ノートPC,98000,45,4410000
2024-11-06,TB001,タブレット 10インチ,タブレット,59800,41,2451800
2024-11-06,EP001,ワイヤレスイヤホン,イヤホン,19800,37,732600
2024-11-06,EP002,ノイズキャンセリングイヤホン,イヤホン,34800,37,1287600
2024-11-07,SP001,スマートフォン Pro,スマートフォン,89800,82,7363600
2024-11-07,SP002,スマートフォン Lite,スマートフォン,49800,65,3237000
2024-11-07,LP001,ノートPC 15インチ,ノートPC,129800,85,11033000
2024-11-07,LP002,ノートPC 13インチ,ノートPC,98000,59,5782000
2024-11-07,TB001,タブレット 10インチ,タブレット,59800,58,3468400
2024-11-07,EP001,ワイヤレスイヤホン,イヤホン,19800,46,910800
2024-11-07,EP002,ノイズキャンセリングイヤホン,イヤホン,34800,47,1635600
2024-11-08,SP001,スマートフォン Pro,スマートフォン,89800,89,7992200
2024-11-08,SP002,スマートフォン Lite,スマートフォン,49800,43,2141400
2024-11-08,LP001,ノートPC 15インチ,ノートPC,129800,64,8307200
2024-11-08,LP002,ノートPC 13インチ,ノートPC,98000,45,4410000
2024-11-08,TB001,タブレット 10インチ,タブレット,59800,36,2152800
2024-11-08,EP001,ワイヤレスイヤホン,イヤホン,19800,30,594000
2024-11-08,EP002,ノイズキャンセリングイヤホン,イヤホン,34800,31,1078800
2024-11-09,SP001,スマートフォン Pro,スマートフォン,89800,87,7812600
2024-11-09,SP002,スマートフォン Lite,スマートフォン,49800,44,2191200
2024-11-09,LP001,ノートPC 15インチ,ノートPC,129800,67,8696600
2024-11-09,LP002,ノートPC 13インチ,ノートPC,98000,57,5586000
2024-11-09,TB001,タブレット 10インチ,タブレット,59800,34,2033200
2024-11-09,EP001,ワイヤレスイヤホン,イヤホン,19800,43,851400
2024-11-09,EP002,ノイズキャンセリングイヤホン,イヤホン,34800,32,1113600
2024-11-10,SP001,スマートフォン Pro,スマートフォン,89800,85,7633000
2024-11-10,SP002,スマートフォン Lite,スマートフォン,49800,45,2241000
2024-11-10,LP001,ノートPC 15インチ,ノートPC,129800,65,8437000
2024-11-10,LP002,ノートPC 13インチ,ノートPC,98000,45,4410000
2024-11-10,TB001,タブレット 10インチ,タブレット,59800,32,1913600
2024-11-10,EP001,ワイヤレスイヤホン,イヤホン,19800,29,574200
2024-11-10,EP002,ノイズキャンセリングイヤホン,イヤホン,34800,21,730800
2024-11-11,SP001,スマートフォン Pro,スマートフォン,89800,98,8800400
2024-11-11,SP002,スマートフォン Lite,スマートフォン,49800,46,2290800
2024-11-11,LP001,ノートPC 15インチ,ノートPC,129800,69,8956200
2024-11-11,LP002,ノートPC 13インチ,ノートPC,98000,38,3724000
2024-11-11,TB001,タブレット 10インチ,タブレット,59800,39,2332200
2024-11-11,EP001,ワイヤレスイヤホン,イヤホン,19800,33,653400
2024-11-11,EP002,ノイズキャンセリングイヤホン,イヤホン,34800,25,870000
2024-11-12,SP001,スマートフォン Pro,スマートフォン,89800,166,14906800
2024-11-12,SP002,スマートフォン Lite,スマートフォン,49800,89,4432200
2024-11-12,LP001,ノートPC 15インチ,ノートPC,129800,81,10513800
2024-11-12,LP002,ノートPC 13インチ,ノートPC,98000,51,4998000
2024-11-12,TB001,タブレット 10インチ,タブレット,59800,62,3707600
2024-11-12,EP001,ワイヤレスイヤホン,イヤホン,19800,63,1247400
2024-11-12,EP002,ノイズキャンセリングイヤホン,イヤホン,34800,43,1496400
2024-11-13,SP001,スマートフォン Pro,スマートフォン,89800,121,10865800
2024-11-13,SP002,スマートフォン Lite,スマートフォン,49800,76,3784800
2024-11-13,LP001,ノートPC 15インチ,ノートPC,129800,90,11682000
2024-11-13,LP002,ノートPC 13インチ,ノートPC,98000,62,6076000
2024-11-13,TB001,タブレット 10インチ,タブレット,59800,36,2152800
2024-11-13,EP001,ワイヤレスイヤホン,イヤホン,19800,60,1188000
2024-11-13,EP002,ノイズキャンセリングイヤホン,イヤホン,34800,43,1496400
2024-11-14,SP001,スマートフォン Pro,スマートフォン,89800,149,13380200
2024-11-14,SP002,スマートフォン Lite,スマートフォン,49800,73,3635400
2024-11-14,LP001,ノートPC 15インチ,ノートPC,129800,88,11422400
2024-11-14,LP002,ノートPC 13インチ,ノートPC,98000,62,6076000
2024-11-14,TB001,タブレット 10インチ,タブレット,59800,60,3588000
2024-11-14,EP001,ワイヤレスイヤホン,イヤホン,19800,59,1168200
2024-11-14,EP002,ノイズキャンセリングイヤホン,イヤホン,34800,41,1426800
2024-11-15,SP001,スマートフォン Pro,スマートフォン,89800,138,12392400
2024-11-15,SP002,スマートフォン Lite,スマートフォン,49800,92,4581600
2024-11-15,LP001,ノートPC 15インチ,ノートPC,129800,74,9605200
2024-11-15,LP002,ノートPC 13インチ,ノートPC,98000,60,5880000
2024-11-15,TB001,タブレット 10インチ,タブレット,59800,59,3528200
2024-11-15,EP001,ワイヤレスイヤホン,イヤホン,19800,53,1049400
2024-11-15,EP002,ノイズキャンセリングイヤホン,イヤホン,34800,45,1566000
2024-11-16,SP001,スマートフォン Pro,スマートフォン,89800,123,11045400
2024-11-16,SP002,スマートフォン Lite,スマートフォン,49800,94,4681200
2024-11-16,LP001,ノートPC 15インチ,ノートPC,129800,71,9215800
2024-11-16,LP002,ノートPC 13インチ,ノートPC,98000,58,5684000
2024-11-16,TB001,タブレット 10インチ,タブレット,59800,36,2152800
2024-11-16,EP001,ワイヤレスイヤホン,イヤホン,19800,38,752400
2024-11-16,EP002,ノイズキャンセリングイヤホン,イヤホン,34800,36,1252800
2024-11-17,SP001,スマートフォン Pro,スマートフォン,89800,102,9159600
2024-11-17,SP002,スマートフォン Lite,スマートフォン,49800,98,4880400
2024-11-17,LP001,ノートPC 15インチ,ノートPC,129800,130,16874000
2024-11-17,LP002,ノートPC 13インチ,ノートPC,98000,55,5390000
2024-11-17,TB001,タブレット 10インチ,タブレット,59800,55,3289000
2024-11-17,EP001,ワイヤレスイヤホン,イヤホン,19800,52,1029600
2024-11-17,EP002,ノイズキャンセリングイヤホン,イヤホン,34800,49,1705200
2024-11-18,SP001,スマートフォン Pro,スマートフォン,89800,200,17960000
2024-11-18,SP002,スマートフォン Lite,スマートフォン,49800,78,3884400
2024-11-18,LP001,ノートPC 15インチ,ノートPC,129800,172,22325600
2024-11-18,LP002,ノートPC 13インチ,ノートPC,98000,102,9996000
2024-11-18,TB001,タブレット 10インチ,タブレット,59800,74,4425200
2024-11-18,EP001,ワイヤレスイヤホン,イヤホン,19800,92,1821600
2024-11-18,EP002,ノイズキャンセリングイヤホン,イヤホン,34800,74,2575200
2024-11-19,SP001,スマートフォン Pro,スマートフォン,89800,96,8620800
2024-11-19,SP002,スマートフォン Lite,スマートフォン,49800,60,2988000
2024-11-19,LP001,ノートPC 15インチ,ノートPC,129800,98,12720400
2024-11-19,LP002,ノートPC 13インチ,ノートPC,98000,39,3822000
2024-11-19,TB001,タブレット 10インチ,タブレット,59800,33,1973400
2024-11-19,EP001,ワイヤレスイヤホン,イヤホン,19800,30,594000
2024-11-19,EP002,ノイズキャンセリングイヤホン,イヤホン,34800,37,1287600
2024-11-20,SP001,スマートフォン Pro,スマートフォン,89800,106,9518800
2024-11-20,SP002,スマートフォン Lite,スマートフォン,49800,42,2091600
2024-11-20,LP001,ノートPC 15インチ,ノートPC,129800,95,12331000
2024-11-20,LP002,ノートPC 13インチ,ノートPC,98000,50,4900000
2024-11-20,TB001,タブレット 10インチ,タブレット,59800,45,2691000
2024-11-20,EP001,ワイヤレスイヤホン,イヤホン,19800,27,534600
2024-11-20,EP002,ノイズキャンセリングイヤホン,イヤホン,34800,29,1009200
2024-11-21,SP001,スマートフォン Pro,スマートフォン,89800,54,4849200
2024-11-21,SP002,スマートフォン Lite,スマートフォン,49800,30,1494000
2024-11-21,LP001,ノートPC 15インチ,ノートPC,129800,43,5581400
2024-11-21,LP002,ノートPC 13インチ,ノートPC,98000,28,2744000
2024-11-21,TB001,タブレット 10インチ,タブレット,59800,18,1076400
2024-11-21,EP001,ワイヤレスイヤホン,イヤホン,19800,23,455400
2024-11-21,EP002,ノイズキャンセリングイヤホン,イヤホン,34800,12,417600
2024-11-22,SP001,スマートフォン Pro,スマートフォン,89800,73,6555400
2024-11-22,SP002,スマートフォン Lite,スマートフォン,49800,37,1842600
2024-11-22,LP001,ノートPC 15インチ,ノートPC,129800,62,8047600
2024-11-22,LP002,ノートPC 13インチ,ノートPC,98000,37,3626000
2024-11-22,TB001,タブレット 10インチ,タブレット,59800,40,2392000
2024-11-22,EP001,ワイヤレスイヤホン,イヤホン,19800,37,732600
2024-11-22,EP002,ノイズキャンセリングイヤホン,イヤホン,34800,26,904800
2024-11-23,SP001,スマートフォン Pro,スマートフォン,89800,127,11404600
2024-11-23,SP002,スマートフォン Lite,スマートフォン,49800,51,2539800
2024-11-23,LP001,ノートPC 15インチ,ノートPC,129800,75,9735000
2024-11-23,LP002,ノートPC 13インチ,ノートPC,98000,60,5880000
2024-11-23,TB001,タブレット 10インチ,タブレット,59800,50,2990000
2024-11-23,EP001,ワイヤレスイヤホン,イヤホン,19800,54,1069200
2024-11-23,EP002,ノイズキャンセリングイヤホン,イヤホン,34800,35,1218000
2024-11-24,SP001,スマートフォン Pro,スマートフォン,89800,151,13559800
2024-11-24,SP002,スマートフォン Lite,スマートフォン,49800,88,4382400
2024-11-24,LP001,ノートPC 15インチ,ノートPC,129800,136,17652800
2024-11-24,LP002,ノートPC 13インチ,ノートPC,98000,53,5194000
2024-11-24,TB001,タブレット 10インチ,タブレット,59800,55,3289000
2024-11-24,EP001,ワイヤレスイヤホン,イヤホン,19800,56,1108800
2024-11-24,EP002,ノイズキャンセリングイヤホン,イヤホン,34800,55,1914000
2024-11-25,SP001,スマートフォン Pro,スマートフォン,89800,69,6196200
2024-11-25,SP002,スマートフォン Lite,スマートフォン,49800,51,2539800
2024-11-25,LP001,ノートPC 15インチ,ノートPC,129800,61,7917800
2024-11-25,LP002,ノートPC 13インチ,ノートPC,98000,41,4018000
2024-11-25,TB001,タブレット 10インチ,タブレット,59800,28,1674400
2024-11-25,EP001,ワイヤレスイヤホン,イヤホン,19800,24,475200
2024-11-25,EP002,ノイズキャンセリングイヤホン,イヤホン,34800,28,974400
2024-11-26,SP001,スマートフォン Pro,スマートフォン,89800,53,4759400
2024-11-26,SP002,スマートフォン Lite,スマートフォン,49800,29,1444200
2024-11-26,LP001,ノートPC 15インチ,ノートPC,129800,42,5451600
2024-11-26,LP002,ノートPC 13インチ,ノートPC,98000,20,1960000
2024-11-26,TB001,タブレット 10インチ,タブレット,59800,30,1794000
2024-11-26,EP001,ワイヤレスイヤホン,イヤホン,19800,25,495000
2024-11-26,EP002,ノイズキャンセリングイヤホン,イヤホン,34800,22,765600
2024-11-27,SP001,スマートフォン Pro,スマートフォン,89800,97,8710600
2024-11-27,SP002,スマートフォン Lite,スマートフォン,49800,76,3784800
2024-11-27,LP001,ノートPC 15インチ,ノートPC,129800,80,10384000
2024-11-27,LP002,ノートPC 13インチ,ノートPC,98000,51,4998000
2024-11-27,TB001,タブレット 10インチ,タブレット,59800,40,2392000
2024-11-27,EP001,ワイヤレスイヤホン,イヤホン,19800,46,910800
2024-11-27,EP002,ノイズキャンセリングイヤホン,イヤホン,34800,33,1148400
2024-11-28,SP001,スマートフォン Pro,スマートフォン,89800,83,7453400
2024-11-28,SP002,スマートフォン Lite,スマートフォン,49800,45,2241000
2024-11-28,LP001,ノートPC 15インチ,ノートPC,129800,82,10643600
2024-11-28,LP002,ノートPC 13インチ,ノートPC,98000,46,4508000
2024-11-28,TB001,タブレット 10インチ,タブレット,59800,29,1734200
2024-11-28,EP001,ワイヤレスイヤホン,イヤホン,19800,36,712800
2024-11-28,EP002,ノイズキャンセリングイヤホン,イヤホン,34800,31,1078800
2024-11-29,SP001,スマートフォン Pro,スマートフォン,89800,127,11404600
2024-11-29,SP002,スマートフォン Lite,スマートフォン,49800,47,2340600
2024-11-29,LP001,ノートPC 15インチ,ノートPC,129800,77,9994600
2024-11-29,LP002,ノートPC 13インチ,ノートPC,98000,61,5978000
2024-11-29,TB001,タブレット 10インチ,タブレット,59800,46,2750800
2024-11-29,EP001,ワイヤレスイヤホン,イヤホン,19800,37,732600
2024-11-29,EP002,ノイズキャンセリングイヤホン,イヤホン,34800,41,1426800
2024-11-30,SP001,スマートフォン Pro,スマートフォン,89800,146,13110800
2024-11-30,SP002,スマートフォン Lite,スマートフォン,49800,88,4382400
2024-11-30,LP001,ノートPC 15インチ,ノートPC,129800,151,19599800
2024-11-30,LP002,ノートPC 13インチ,ノートPC,98000,89,8722000
2024-11-30,TB001,タブレット 10インチ,タブレット,59800,53,3169400
2024-11-30,EP001,ワイヤレスイヤホン,イヤホン,19800,46,910800
2024-11-30,EP002,ノイズキャンセリングイヤホン,イヤホン,34800,42,1461600
2024-12-01,SP001,スマートフォン Pro,スマートフォン,89800,80,7184000
2024-12-01,SP002,スマートフォン Lite,スマートフォン,49800,47,2340600
2024-12-01,LP001,ノートPC 15インチ,ノートPC,129800,83,10773400
2024-12-01,LP002,ノートPC 13インチ,ノートPC,98000,67,6566000
2024-12-01,TB001,タブレット 10インチ,タブレット,59800,54,3229200
2024-12-01,EP001,ワイヤレスイヤホン,イヤホン,19800,44,871200
2024-12-01,EP002,ノイズキャンセリングイヤホン,イヤホン,34800,37,1287600
2024-12-02,SP001,スマートフォン Pro,スマートフォン,89800,79,7094200
2024-12-02,SP002,スマートフォン Lite,スマートフォン,49800,55,2739000
2024-12-02,LP001,ノートPC 15インチ,ノートPC,129800,64,8307200
2024-12-02,LP002,ノートPC 13インチ,ノートPC,98000,62,6076000
2024-12-02,TB001,タブレット 10インチ,タブレット,59800,35,2093000
2024-12-02,EP001,ワイヤレスイヤホン,イヤホン,19800,54,1069200
2024-12-02,EP002,ノイズキャンセリングイヤホン,イヤホン,34800,39,1357200
2024-12-03,SP001,スマートフォン Pro,スマートフォン,89800,90,8082000
2024-12-03,SP002,スマートフォン Lite,スマートフォン,49800,51,2539800
2024-12-03,LP001,ノートPC 15インチ,ノートPC,129800,92,11941600
2024-12-03,LP002,ノートPC 13インチ,ノートPC,98000,64,6272000
2024-12-03,TB001,タブレット 10インチ,タブレット,59800,48,2870400
2024-12-03,EP001,ワイヤレスイヤホン,イヤホン,19800,39,772200
2024-12-03,EP002,ノイズキャンセリングイヤホン,イヤホン,34800,36,1252800
2024-12-04,SP001,スマートフォン Pro,スマートフォン,89800,64,5747200
2024-12-04,SP002,スマートフォン Lite,スマートフォン,49800,56,2788800
2024-12-04,LP001,ノートPC 15インチ,ノートPC,129800,66,8566800
2024-12-04,LP002,ノートPC 13インチ,ノートPC,98000,37,3626000
2024-12-04,TB001,タブレット 10インチ,タブレット,59800,27,1614600
2024-12-04,EP001,ワイヤレスイヤホン,イヤホン,19800,31,613800
2024-12-04,EP002,ノイズキャンセリングイヤホン,イヤホン,34800,20,696000
2024-12-05,SP001,スマートフォン Pro,スマートフォン,89800,103,9249400
2024-12-05,SP002,スマートフォン Lite,スマートフォン,49800,80,3984000
2024-12-05,LP001,ノートPC 15インチ,ノートPC,129800,144,18691200
2024-12-05,LP002,ノートPC 13インチ,ノートPC,98000,74,7252000
2024-12-05,TB001,タブレット 10インチ,タブレット,59800,43,2571400
2024-12-05,EP001,ワイヤレスイヤホン,イヤホン,19800,70,1386000
2024-12-05,EP002,ノイズキャンセリングイヤホン,イヤホン,34800,39,1357200
2024-12-06,SP001,スマートフォン Pro,スマートフォン,89800,97,8710600
2024-12-06,SP002,スマートフォン Lite,スマートフォン,49800,60,2988000
2024-12-06,LP001,ノートPC 15インチ,ノートPC,129800,96,12460800
2024-12-06,LP002,ノートPC 13インチ,ノートPC,98000,56,5488000
2024-12-06,TB001,タブレット 10インチ,タブレット,59800,45,2691000
2024-12-06,EP001,ワイヤレスイヤホン,イヤホン,19800,52,1029600
2024-12-06,EP002,ノイズキャンセリングイヤホン,イヤホン,34800,32,1113600
2024-12-07,SP001,スマートフォン Pro,スマートフォン,89800,143,12841400
2024-12-07,SP002,スマートフォン Lite,スマートフォン,49800,59,2938200
2024-12-07,LP001,ノートPC 15インチ,ノートPC,129800,115,14927000
2024-12-07,LP002,ノートPC 13インチ,ノートPC,98000,64,6272000
2024-12-07,TB001,タブレット 10インチ,タブレット,59800,54,3229200
2024-12-07,EP001,ワイヤレスイヤホン,イヤホン,19800,48,950400
2024-12-07,EP002,ノイズキャンセリングイヤホン,イヤホン,34800,43,1496400
2024-12-08,SP001,スマートフォン Pro,スマートフォン,89800,62,5567600
2024-12-08,SP002,スマートフォン Lite,スマートフォン,49800,60,2988000
2024-12-08,LP001,ノートPC 15インチ,ノートPC,129800,48,6230400
2024-12-08,LP002,ノートPC 13インチ,ノートPC,98000,31,3038000
2024-12-08,TB001,タブレット 10インチ,タブレット,59800,34,2033200
2024-12-08,EP001,ワイヤレスイヤホン,イヤホン,19800,37,732600
2024-12-08,EP002,ノイズキャンセリングイヤホン,イヤホン,34800,19,661200
2024-12-09,SP001,スマートフォン Pro,スマートフォン,89800,140,12572000
2024-12-09,SP002,スマートフォン Lite,スマートフォン,49800,86,4282800
2024-12-09,LP001,ノートPC 15インチ,ノートPC,129800,95,12331000
2024-12-09,LP002,ノートPC 13インチ,ノートPC,98000,53,5194000
2024-12-09,TB001,タブレット 10インチ,タブレット,59800,51,3049800
2024-12-09,EP001,ワイヤレスイヤホン,イヤホン,19800,40,792000
2024-12-09,EP002,ノイズキャンセリングイヤホン,イヤホン,34800,35,1218000
